url,from,tras_from,search_from,to,trans_to,search_to,Route_start,Route_dest,1pax,2pax,3pax,4pax,5pax,6pax,7pax,8pax,9pax,10pax,11pax,12pax,13pax,14pax,15pax,16pax
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Opatija?loc1_name=Pula%20Airport&loc2_name=Opatija&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJG3S1y0qoZEcRkMIrhlCtAAQ&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Opatija,Opatija ,"Opatija Opatija, Croatia",Pula Airport,Opatija,,, 110.33, 212.79, 551.62, 196.68, 155.59, 111.75,, 1020.60,, 1122.56,, 1224.51,, 353.62
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Lovran?loc1_name=Pula%20Airport&loc2_name=Lovran&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJhQEXk8ZXY0cRUnc0gzfpLX0&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Lovran,Lovran ,"Lovran Lovran, Croatia",Pula Airport,Lovran,,, 107.50, 212.79, 514.83, 195.88, 141.45, 110.33,, 952.48,, 1047.62,, 1142.76,, 169.74
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Rijeka?loc1_name=Pula%20Airport&loc2_name=Rijeka&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJLb6qFyWhZEcRcLbLPThvPDc&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Rijeka,Rijeka ,"Rijeka Rijeka, Croatia",Pula Airport,Rijeka,,, 157.44, 216.48, 573.24, 211.81, 202.95, 178.35,, 1060.64,, 1166.59,, 1272.55,, 381.92
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Premantura?loc1_name=Pula%20Airport&loc2_name=Premantura&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJrWwPlskrY0cRj9pNga7ujjk&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Premantura,Premantura ,Premantura,Pula Airport,Premantura,,, 41.20, 152.52, 243.55, 56.88, 51.04, 45.51,, 450.11,, 495.01,, 539.92,, 212.17
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Medulin?loc1_name=Pula%20Airport&loc2_name=Medulin&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJJUj9_5grY0cRkNMrhlCtAAQ&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Medulin,Medulin ,"Medulin Medulin, Croatia",Pula Airport,Medulin,,, 29.70, 151.29, 243.45, 57.56, 61.50, 41.82,, 449.93,, 494.82,, 539.70,, 212.17
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Rabac?loc1_name=Pula%20Airport&loc2_name=Rabac&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJG2k27blIY0cRGLtHdjDp0-M&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Rabac,Rabac ,"Rabac Rabac, Croatia",Pula Airport,Rabac,,, 50.92, 162.36, 333.51, 120.87, 87.70, 57.99,, 616.71,, 678.27,, 739.84,, 212.17
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Poreč?loc1_name=Pula%20Airport&loc2_name=Poreč&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJKZCHlJyXfEcRvar-h7XlqQc&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Poreč,Pore? ,"Pore? Pore?, Croatia",Pula Airport,Poreč,,, 65.07, 185.73, 386.23,, 100.43, 74.97,, 714.32,, 785.64,, 856.97,, 226.32
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Pula%20Bus%20Terminal?loc1_name=Pula%20Airport&loc2_name=Pula%20Bus%20Terminal&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJm_76QN3SfEcRA_ffrGwE-X8&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Pula%20Bus%20Terminal,Bus station Pula ,"Bus station Pula Trg I istarske brigade 1, 52100, Pula, Croatia",Pula Airport,"Pula, Bus Terminal",,, 34.44, 148.83, 243.52, 50.37, 50.43, 40.59,, 450.03,, 494.94,, 539.83,, 110.70
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Rovinj?loc1_name=Pula%20Airport&loc2_name=Rovinj&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJ_4ZcTWO_fEcRU66YxWGfxv8&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Rovinj,Rovinj ,"Rovinj Rovinj, Croatia",Pula Airport,Rovinj,,, 52.34, 166.05, 318.56, 77.49, 94.77, 62.24,, 589.00,, 647.79,, 706.57,, 212.17
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Pula?loc1_name=Pula%20Airport&loc2_name=Pula&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJbXszCd7SfEcRDVhOezpKMnI&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Pula,Pula ,"Pula Pula, Croatia",Pula Airport,Pula,,, 34.44, 148.83, 243.52, 50.37, 54.73, 40.59,, 450.03,, 494.94,, 539.83,, 110.70
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Pula%20Ferry%20Port?loc1_name=Pula%20Airport&loc2_name=Pula%20Ferry%20Port&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJMdffjPumc0gRQgV0OdWmarE&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Pula%20Ferry%20Port,Poole Ferry Port ,"Poole Ferry Port 27 New Harbour Rd S, Poole BH15 4AJ, UK",Pula Airport,"Pula, Ferry Port",,,,,,,,,,,,,,,,
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Novigrad%20Istra?loc1_name=Pula%20Airport&loc2_name=Novigrad%20Istra&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJVVKfLXScfEcRR-2aszqtd_A&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Novigrad%20Istra,Novigrad ,"Novigrad Novigrad, Croatia",Pula Airport,"Novigrad, Istra",,, 94.77, 185.73,, 142.20, 142.86, 113.16,,,,,,,, 254.61
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Barbat?loc1_name=Pula%20Airport&loc2_name=Barbat&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJG2TEKmhDDA0R55KfrGgUea0&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Barbat,Barbate ,"Barbate 11160 Barbate, Cádiz, Spain",Pula Airport,Barbat,,, 7724.52, 10041.55, 10427.72,,, 11200.07,, 19309.70,, 21240.56,, 23171.42,,
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Lopar?loc1_name=Pula%20Airport&loc2_name=Lopar&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJWypdVZKmY0cRjfcdJBoFYuU&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Lopar,Lopar ,"Lopar Lopar, Croatia",Pula Airport,Lopar,,,,,,,,,,,,,,,,
https://airportstaxitransfers.com/transportation/taxibookings/Transfer-from-Pula%20Airport-to-Banjol%20Island%20Of%20Rab?loc1_name=Pula%20Airport&loc2_name=Banjol%20Island%20Of%20Rab&pax1=1&date1=23%2F07%2F2024&date2=23%2F07%2F2024&loc1=ChIJj59fN3stY0cRtMWfpN8kbEA&loc2=ChIJU3iXYU2uY0cRkjs2U1GtACY&single=1&time1=10%3A00&time2=13%3A00&quote=1,Pula%20Airport,Pula Airport,Pula Airport,Banjol%20Island%20Of%20Rab,Banjol ,"Banjol 51280, Banjol, Croatia",Pula Airport,"Banjol, Island Of Rab",,,,,,,,,,,,,,,,
